id,language,region1,region2,region3,locality,postcode,suburb,latitude,longitude,elevation,iso2,fips,nuts,hasc,stat,timezone,utc,dst
1005525315,DE,Aargau,Aarau,Aarau,Aarau,5000,,47.387958,8.044136,399,CH-AG,SZ01,CH033,CH.AG.AA,4001,Europe/Zurich,+01:00,+02:00
1005525316,DE,Aargau,Aarau,Aarau,Aarau,5004,,47.400307,8.061208,365,CH-AG,SZ01,CH033,CH.AG.AA,4001,Europe/Zurich,+01:00,+02:00
1005525317,DE,Aargau,Aarau,Aarau,Aarau Rohr,5032,,47.404649,8.087634,374,CH-AG,SZ01,CH033,CH.AG.AA,4001,Europe/Zurich,+01:00,+02:00
1005525318,DE,Aargau,Aarau,Biberstein,Biberstein,5023,,47.413675,8.081266,393,CH-AG,SZ01,CH033,CH.AG.AA,4002,Europe/Zurich,+01:00,+02:00
1005525319,DE,Aargau,Aarau,Buchs,Buchs,5033,,47.388525,8.075502,383,CH-AG,SZ01,CH033,CH.AG.AA,4003,Europe/Zurich,+01:00,+02:00
1005525320,DE,Aargau,Aarau,Densbüren,Asp,5025,,47.443642,8.049303,560,CH-AG,SZ01,CH033,CH.AG.AA,4004,Europe/Zurich,+01:00,+02:00
1005525321,DE,Aargau,Aarau,Densbüren,Densbüren,5026,,47.454141,8.053607,498,CH-AG,SZ01,CH033,CH.AG.AA,4004,Europe/Zurich,+01:00,+02:00
1005525322,DE,Aargau,Aarau,Densbüren,Herzberg,5025,,47.436476,8.04674,692,CH-AG,SZ01,CH033,CH.AG.AA,4004,Europe/Zurich,+01:00,+02:00
1005525323,DE,Aargau,Aarau,Densbüren,Staffelegg,5025,,47.433566,8.058456,609,CH-AG,SZ01,CH033,CH.AG.AA,4004,Europe/Zurich,+01:00,+02:00
1005525324,DE,Aargau,Aarau,Erlinsbach,Barmelweid,5017,,47.421192,7.97137,797,CH-AG,SZ01,CH033,CH.AG.AA,4005,Europe/Zurich,+01:00,+02:00
1005525325,DE,Aargau,Aarau,Erlinsbach,Erlinsbach,5018,,47.402211,8.011168,419,CH-AG,SZ01,CH033,CH.AG.AA,4005,Europe/Zurich,+01:00,+02:00
1005525326,DE,Aargau,Aarau,Gränichen,Gränichen,5722,,47.359128,8.097379,413,CH-AG,SZ01,CH033,CH.AG.AA,4006,Europe/Zurich,+01:00,+02:00
1005525327,DE,Aargau,Aarau,Gränichen,Rütihof bei Gränichen,5722,,47.338763,8.081252,582,CH-AG,SZ01,CH033,CH.AG.AA,4006,Europe/Zurich,+01:00,+02:00
1005525328,DE,Aargau,Aarau,Hirschthal,Hirschthal,5042,,47.318824,8.052802,445,CH-AG,SZ01,CH033,CH.AG.AA,4007,Europe/Zurich,+01:00,+02:00
1005525329,DE,Aargau,Aarau,Küttigen,Küttigen,5024,,47.414504,8.048063,411,CH-AG,SZ01,CH033,CH.AG.AA,4008,Europe/Zurich,+01:00,+02:00
1005525330,DE,Aargau,Aarau,Küttigen,Rombach,5022,,47.401738,8.044108,384,CH-AG,SZ01,CH033,CH.AG.AA,4008,Europe/Zurich,+01:00,+02:00
1005525331,DE,Aargau,Aarau,Muhen,Muhen,5037,,47.335237,8.054497,436,CH-AG,SZ01,CH033,CH.AG.AA,4009,Europe/Zurich,+01:00,+02:00
1005525332,DE,Aargau,Aarau,Muhen,Obermuhen,5037,,47.328416,8.056377,441,CH-AG,SZ01,CH033,CH.AG.AA,4009,Europe/Zurich,+01:00,+02:00
1005525333,DE,Aargau,Aarau,Oberentfelden,Oberentfelden,5036,,47.356472,8.046741,413,CH-AG,SZ01,CH033,CH.AG.AA,4010,Europe/Zurich,+01:00,+02:00
1005525334,DE,Aargau,Aarau,Suhr,Suhr,5034,,47.375077,8.078823,397,CH-AG,SZ01,CH033,CH.AG.AA,4012,Europe/Zurich,+01:00,+02:00
1005525335,DE,Aargau,Aarau,Unterentfelden,Unterentfelden,5035,,47.367358,8.04446,414,CH-AG,SZ01,CH033,CH.AG.AA,4013,Europe/Zurich,+01:00,+02:00
1005525336,DE,Aargau,Baden,Baden,Baden,5400,,47.473515,8.307598,384,CH-AG,SZ01,CH033,CH.AG.BA,4021,Europe/Zurich,+01:00,+02:00
1005525337,DE,Aargau,Baden,Baden,Baden,5404,,47.454549,8.27962,449,CH-AG,SZ01,CH033,CH.AG.BA,4021,Europe/Zurich,+01:00,+02:00
1005525338,DE,Aargau,Baden,Baden,Dättwil,5405,,47.453574,8.286043,433,CH-AG,SZ01,CH033,CH.AG.BA,4021,Europe/Zurich,+01:00,+02:00
1005525339,DE,Aargau,Baden,Baden,Rütihof,5406,,47.438055,8.269761,405,CH-AG,SZ01,CH033,CH.AG.BA,4021,Europe/Zurich,+01:00,+02:00
1005525340,DE,Aargau,Baden,Bellikon,Bellikon,5454,,47.390581,8.345852,612,CH-AG,SZ01,CH033,CH.AG.BA,4022,Europe/Zurich,+01:00,+02:00
1005525341,DE,Aargau,Baden,Bergdietikon,Baltenschwil,8962,,47.391992,8.392051,440,CH-AG,SZ01,CH033,CH.AG.BA,4023,Europe/Zurich,+01:00,+02:00
1005525342,DE,Aargau,Baden,Bergdietikon,Bergdietikon,8962,,47.389272,8.385338,514,CH-AG,SZ01,CH033,CH.AG.BA,4023,Europe/Zurich,+01:00,+02:00
1005525343,DE,Aargau,Baden,Birmenstorf,Birmenstorf,5413,,47.460672,8.249541,381,CH-AG,SZ01,CH033,CH.AG.BA,4024,Europe/Zurich,+01:00,+02:00
1005525344,DE,Aargau,Baden,Ehrendingen,Ehrendingen,5420,,47.495393,8.340568,466,CH-AG,SZ01,CH033,CH.AG.BA,4049,Europe/Zurich,+01:00,+02:00
1005525345,DE,Aargau,Baden,Ennetbaden,Ennetbaden,5408,,47.478487,8.317885,411,CH-AG,SZ01,CH033,CH.AG.BA,4026,Europe/Zurich,+01:00,+02:00
1005525346,DE,Aargau,Baden,Fislisbach,Fislisbach,5442,,47.436288,8.292852,432,CH-AG,SZ01,CH033,CH.AG.BA,4027,Europe/Zurich,+01:00,+02:00
1005525347,DE,Aargau,Baden,Freienwil,Freienwil,5423,,47.502971,8.32653,464,CH-AG,SZ01,CH033,CH.AG.BA,4028,Europe/Zurich,+01:00,+02:00
1005525348,DE,Aargau,Baden,Gebenstorf,Gebenstorf,5412,,47.481794,8.240738,360,CH-AG,SZ01,CH033,CH.AG.BA,4029,Europe/Zurich,+01:00,+02:00
